Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,0,1102,2,1,2,1,1,2,0,94,3,2,1,4,1,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,1
49,1,279,1,8,1,1,2,3,1,61,2,2,3,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0
37,0,1373,1,2,2,6,4,4,1,92,2,1,2,3,1,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,1
33,1,1392,1,3,4,1,5,4,0,56,3,1,3,3,2,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0
27,0,591,1,2,1,2,7,1,1,40,3,1,2,2,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0
32,1,1005,1,2,2,1,8,4,1,79,3,1,2,4,1,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0
59,0,1324,1,3,3,2,10,3,0,81,4,1,2,1,2,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0
30,0,1358,1,24,1,1,11,4,1,67,3,1,2,3,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,0
38,1,216,1,23,3,1,12,4,1,44,2,3,4,3,1,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0
36,0,1299,1,27,3,2,13,3,1,94,3,2,5,3,2,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0
35,0,809,1,16,3,2,14,1,1,84,4,1,2,2,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0
29,0,153,1,15,2,1,15,4,0,49,2,2,2,3,1,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0
31,0,670,1,26,1,1,16,1,1,31,3,1,3,3,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0
34,0,1346,1,19,2,2,18,2,1,93,3,1,2,4,3,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0
28,0,103,1,24,3,1,19,3,1,50,2,1,2,3,1,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1
29,0,1389,1,21,4,1,20,2,0,51,4,3,4,1,3,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0
32,0,334,1,5,2,1,21,1,1,80,4,1,3,2,3,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0
22,2,1123,1,16,2,2,22,4,1,96,4,1,2,4,3,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0
53,0,1219,2,2,4,1,23,1,0,78,2,4,6,4,2,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0
38,0,371,1,2,3,1,24,4,1,45,3,1,3,4,1,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0
24,2,673,1,11,2,6,26,1,0,96,4,2,4,3,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0
36,0,1218,2,9,4,1,27,3,1,82,2,1,7,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,1
34,0,419,1,7,4,1,28,1,0,53,3,3,8,2,1,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0
21,0,391,1,15,2,1,30,3,1,96,3,1,3,4,1,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0
34,0,699,1,6,1,2,31,2,1,83,3,1,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1
53,0,1282,1,5,3,6,32,3,0,58,3,5,6,3,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0
32,1,1125,1,16,1,1,33,2,0,72,1,1,3,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1
42,0,691,2,8,4,4,35,3,1,48,3,2,1,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0
44,0,477,1,7,4,2,36,1,0,42,2,3,5,4,2,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0
46,0,705,2,2,4,4,38,2,0,83,3,5,6,1,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0
33,0,924,1,2,3,2,39,3,1,78,3,1,2,4,1,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0
44,0,1459,1,10,4,6,40,4,1,41,3,2,5,4,2,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0
30,0,125,1,9,2,2,41,4,1,83,2,1,2,3,1,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0
39,0,895,2,5,3,5,42,4,1,56,3,2,7,4,2,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,1
24,0,813,1,1,3,2,45,2,1,61,3,1,3,4,2,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,1
43,0,1273,1,2,2,2,46,4,0,72,4,1,3,3,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0
50,0,869,2,3,2,4,47,1,1,86,2,1,7,3,2,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,1
